timestamp,frame_idx,location_bbox,detected_condition,confidence_score,risk_level
00:00:08,160,"[125, 171, 56, 38]",Spatio-Temporal Crowd Motion Outlier,0.3015,HIGH RISK
00:00:08,170,"[123, 178, 38, 25]",Spatio-Temporal Crowd Motion Outlier,0.2926,HIGH RISK
00:00:09,180,"[164, 173, 45, 35]",Spatio-Temporal Crowd Motion Outlier,0.3029,HIGH RISK
00:00:09,190,"[214, 45, 106, 72]",Spatio-Temporal Crowd Motion Outlier,0.2981,HIGH RISK
00:00:10,200,"[201, 179, 33, 27]",Spatio-Temporal Crowd Motion Outlier,0.3010,HIGH RISK
00:00:10,210,"[247, 187, 27, 21]",Spatio-Temporal Crowd Motion Outlier,0.2983,HIGH RISK
00:00:11,220,"[242, 186, 78, 54]",Spatio-Temporal Crowd Motion Outlier,0.2959,HIGH RISK
00:00:11,230,"[282, 182, 38, 26]",Spatio-Temporal Crowd Motion Outlier,0.3049,HIGH RISK
00:00:00,0,"[282, 122, 38, 27]",Spatio-Temporal Crowd Motion Outlier,0.2983,HIGH RISK
00:00:00,10,"[0, 161, 25, 39]",Spatio-Temporal Crowd Motion Outlier,0.2933,HIGH RISK
00:00:01,20,"[123, 185, 35, 19]",Spatio-Temporal Crowd Motion Outlier,0.2971,HIGH RISK
00:00:01,30,"[133, 188, 52, 18]",Spatio-Temporal Crowd Motion Outlier,0.2977,HIGH RISK
00:00:02,40,"[159, 185, 37, 24]",Spatio-Temporal Crowd Motion Outlier,0.3023,HIGH RISK
00:00:02,50,"[247, 151, 28, 20]",Spatio-Temporal Crowd Motion Outlier,0.2964,HIGH RISK
00:00:03,60,"[287, 145, 33, 38]",Spatio-Temporal Crowd Motion Outlier,0.3006,HIGH RISK
00:00:03,70,"[173, 172, 30, 27]",Spatio-Temporal Crowd Motion Outlier,0.2970,HIGH RISK
00:00:04,80,"[227, 180, 64, 31]",Spatio-Temporal Crowd Motion Outlier,0.2991,HIGH RISK
00:00:04,90,"[189, 156, 131, 56]",Spatio-Temporal Crowd Motion Outlier,0.2935,HIGH RISK
00:00:05,100,"[269, 173, 51, 43]",Spatio-Temporal Crowd Motion Outlier,0.2959,HIGH RISK
00:00:05,110,"[221, 177, 99, 39]",Spatio-Temporal Crowd Motion Outlier,0.3036,HIGH RISK
